Title,Skill Level,Yarn Weight,Fiber Type,Yardage,Category,Hook Size,Pattern Link
Sundrenched Duster,Intermediate,"Lace, Fingering",Cotton,2950-7080,,D/ 3.25mm crochet hook,https://www.crochet.com/sundrenched-duster/p/54077D
Dishie-lous Market Tote,Beginner,Worsted,Cotton,315-430,,"U.S. size H/8 (5mm) U.S. size I/9 (5.5mm) crochet hook, or size needed to obtain gauge",https://www.crochet.com/dishie-lous-market-tote/p/17766D
Sunbeam Tee,Intermediate,"Fingering, Lace",Cotton,1442-3605,,B/2.5mm crochet hook,https://www.crochet.com/sunbeam-tee/p/54076D
Sunburst Tank,Intermediate,"Fingering, Lace",Cotton,721-2884,,B/2.25mm crochet hook,https://www.crochet.com/sunburst-tank/p/54079D
Sungazer Top,Intermediate,"Fingering, Lace",Cotton,885-2360,,D/3.25mm crochet hook,https://www.crochet.com/sungazer-top/p/54075D
Sunkissed Tank,Intermediate,"Lace, Fingering",Cotton,721-2884,,B/2.25mm crochet hook,https://www.crochet.com/sunkissed-tank/p/54078D
Sunseeker Pullover,Intermediate,"Lace, Fingering",Cotton,1180-2360,,D/3.25mm crochet hook,https://www.crochet.com/sunseeker-pullover/p/54080D
Sunstruck Cardi,Intermediate,"Lace, Fingering",Cotton,1180-2065,,D/ 3.25mm crochet hook,https://www.crochet.com/sunstruck-cardi/p/54081D
Rooted Cardigan,Intermediate,DK,Wool,1476-2460,,Sizes G/6 (4.5mm) & H/8 (5.0mm) Tunisian Crochet hook with 40” cable,https://www.crochet.com/rooted-cardigan/p/58187D
Cobbler Cardigan,Intermediate,Fingering,Wool,2499-3927,,US E/4 (3.50mm) Crochet hook,https://www.crochet.com/cobbler-cardigan/p/55130D
Rainbow Ridge Blanket,Beginner,Worsted,Acrylic,1680,,I/5.5mm crochet hook,https://www.crochet.com/rainbow-ridge-blanket/p/18827D
Wiggleworm Blanket,Intermediate,Worsted,Wool,1664-3952,,Size I/9 (5.5mm) Crochet hook,https://www.crochet.com/wiggleworm-blanket/p/55005D
Rainbow Hugs Mosaic Blanket,Intermediate,Worsted,Wool,2834-3488,,7/4.5mm and I/9.0mm crochet hook,https://www.crochet.com/rainbow-hugs-mosaic-blanket/p/15740D
Allegro Apron Top,Intermediate,Fingering,Cotton,436-1526,,"G/4.0mm crochet hook, G/4.0mm Tunisian crochet hook",https://www.crochet.com/allegro-apron-top/p/58227
Aurora Wall Hanging,Intermediate,DK,Cotton,492,,G+/4.5mm crochet hook,https://www.crochet.com/aurora-wall-hanging/p/58234
Bernadette Boucle Cardi,Intermediate,Sport,"Alpaca, Wool",870-1540,Crochet,Tunisian Crochet hook in size 5mm with cable & Double ended Crochet hook size 5mm,https://www.crochet.com/bernadette-boucle-cardi/p/N4580
Bewitched Bobble Blanket,Intermediate,Worsted,Cotton,3450,,G/4.25mm crochet hook,https://www.crochet.com/bewitched-bobble-blanket/p/58232
Boardwalk Hexie Blanket,Intermediate,Worsted,Cotton,1650,,H/5.0mm crochet hook,https://www.crochet.com/boardwalk-hexie-blanket/p/58245
Coloratura Lace Top,Intermediate,Fingering,Wool,1464-9516,Crochet,D/3.25mm crochet hook,https://www.crochet.com/coloratura-lace-top/p/58225
Crescendo Filet Wrap,Intermediate,Fingering,Wool,1380,,G/4.0mm crochet hook,https://www.crochet.com/crescendo-filet-wrap/p/58226
Dandelion Crop Cardi,Intermediate,Fingering,Wool,1386-2541,,"D/3 mm, C/2.75mm crochet hook",https://www.crochet.com/dandelion-crop-cardi/p/58238
Dawn Valley Pullover,Intermediate,Fingering,Wool,2232-3156,,Size F/5 (3.75mm) Crochet hook,https://www.crochet.com/dawn-valley-pullover/p/58173D
Delicato Top,Intermediate,Lace,Silk,1756-3073,,"E/3.5mm, F/3.75mm crochet hook",https://www.crochet.com/delicato-top/p/58230
Fair Folk Pillow,Intermediate,DK,Cotton,738,,G/4.0mm crochet hook,https://www.crochet.com/fair-folk-pillow/p/58233
Fairy Bells Bracelet,Intermediate,Lace,Cotton,1442,,B/2.25mm crochet hook,https://www.crochet.com/fairy-bells-bracelet/p/58236
Fairy Garden Fringe Plant Cozy,Intermediate,Worsted,Cotton,190,,I/5.5mm crochet hook,https://www.crochet.com/fairy-garden-fringe-plant-cozy/p/58235
Forager Turtleneck,Intermediate,Worsted,Wool,1430-2200,,Sizes H/8 (5mm)& I/9 (5.5mm) Crochet hook,https://www.crochet.com/forager-turtleneck/p/58174D
Forte Filet Tee,Intermediate,"Fingering, Lace",Cotton,1475-2065,,D/3.25mm crochet hook,https://www.crochet.com/forte-filet-tee/p/58231
Gingham Twist Dishcloth,Intermediate,Worsted,Cotton,570,,Size I/9 (5.5mm) Crochet hook,https://www.crochet.com/gingham-twist-dishcloth/p/58087
Hummingbird Cardi,Intermediate,DK,Alpaca,2091-2706,,H/8 (5mm) Crochet hook,https://www.crochet.com/hummingbird-cardi/p/55118D
Kiskeya Tank,Intermediate,DK,Wool,738-1107,,I/5.5mm crochet hook,https://www.crochet.com/kiskeya-tank/p/58223
Lark Lace Earrings,Intermediate,Lace,Cotton,721,,8/1.5mm crochet hook,https://www.crochet.com/lark-lace-earrings/p/58237
Medley Shawl,Intermediate,Fingering,Wool,1540,,H/5.0mm crochet hook,https://www.crochet.com/medley-shawl/p/58224
Moonlight Ridge Cardigan,Intermediate,Worsted,Wool,1320-2530,,Size H (5mm) Crochet hook,https://www.crochet.com/moonlight-ridge-cardigan/p/58179D
Ramble Sweater Dress,Intermediate,DK,Wool,1722-3075,,Size H/8 (5.0mm) Crochet hook,https://www.crochet.com/ramble-sweater-dress/p/58177D
Rhapsody Ruana,Intermediate,Fingering,Wool,1785-2142,,G/4.0mm crochet hook,https://www.crochet.com/rhapsody-ruana/p/58229
Rolling Rapids Cardigan,Intermediate,Bulky,Alpaca,1136-1846,,Size M/13 (9mm) Tunisian Crochet hook,https://www.crochet.com/rolling-rapids-cardigan/p/58176D
Sea Star Cardi,Intermediate,Lace,Cotton,2163-2884,,C/2.75mm crochet hook,https://www.crochet.com/sea-star-cardi/p/58244
Seashore Tote,Intermediate,Worsted,Cotton,950,,H/5.0mm crochet hook,https://www.crochet.com/seashore-tote/p/58243
Shoreline Stripe Cropped Top,Intermediate,Fingering,Wool,792-1584,,3 mm crochet hook,https://www.crochet.com/shoreline-stripe-cropped-top/p/58242
Snowcap Fade Pullover,Intermediate,DK,Wool,1353-2583,,Sizes E/4 (3.5mm)& G/6 (4.0mm) Crochet hooks,https://www.crochet.com/snowcap-fade-pullover/p/58178D
Spindrift Cardigan,Intermediate,DK,Cotton,1722-2829,,"F/3.75mm, G/4mm crochet hook",https://www.crochet.com/spindrift-cardigan/p/58241
Sundown Beach Blanket,Intermediate,Worsted,Cotton,2834,,G+/4.5mm crochet hook,https://www.crochet.com/sundown-beach-blanket/p/58239
Tempo Tunic,Intermediate,DK,Alpaca,1353-2337,,"G/4.25mm, 4.5mm crochet hook",https://www.crochet.com/tempo-tunic/p/58228
Tidal Mini Backpack,Intermediate,Lace,Cotton,885,,E/3.5mm crochet hook,https://www.crochet.com/tidal-mini-backpack/p/58240
Blissful Summit Pullover,Intermediate,DK,Wool,1230-2091,,I/9 (5.50mm) Crochet Hook,https://www.crochet.com/blissful-summit-pullover/p/58175D
Cloud Blanket,Intermediate,Bulky,Acrylic,1088-2040,,Size L (7.00 mm) Crochet hook,https://www.crochet.com/cloud-blanket/p/55004D
Contempo Coverlet,Intermediate,Bulky,,1741,Crochet,I/5.5mm crochet hook,https://www.crochet.com/contempo-coverlet/p/N4582
Texture Trio Blanket,Intermediate,Worsted,Acrylic,1962-5450,,Size I/9 (5.5mm) Crochet hook,https://www.crochet.com/texture-trio-blanket/p/55006D
Birdy Crochet Cardigan,Intermediate,Worsted,,218-1744,Crochet,US H/8 (5.0mm) Crochet hook,https://www.crochet.com/birdy-crochet-cardigan/p/55134D
Bun Bun Bunny,Intermediate,"Super Bulky, Worsted",,71-220,,Size E/4 (3.5mm) Crochet hook,https://www.crochet.com/bun-bun-bunny/p/58206
Campus Cable Scarf,Intermediate,Worsted,Wool,1040,,Size 7 (4.5 mm) Crochet hook,https://www.crochet.com/campus-cable-scarf/p/58108
Chevron Loopy Cushion,Intermediate,Bulky,Wool,1233,,Size I/9 (5.5mm) Crochet hook,https://www.crochet.com/chevron-loopy-cushion/p/58214
Clara Dress,Intermediate,Lace,Cotton,1442-2163,,Size 9 (1.40mm) Steel Crochet hook,https://www.crochet.com/clara-dress/p/58207
Clifton Granny Cowl,Intermediate,Fingering,,225,Crochet,E/3.5mm crochet hook,https://www.crochet.com/clifton-granny-cowl/p/N2315
Crayon Box Cushion,Intermediate,Worsted,Cotton,654,,Size I (5.5mm) Crochet hook,https://www.crochet.com/crayon-box-cushion/p/58210
Dandy Dog Sweater,Intermediate,Worsted,Acrylic,110-375,Crochet,H/5.0mm crochet hook,https://www.crochet.com/dandy-dog-sweater/p/17773D
Foursquare Cushion,Intermediate,Worsted,Cotton,1090,,Size E/4 (3.5mm) Crochet hook,https://www.crochet.com/foursquare-cushion/p/58213
Hickory Dickory Hood,Intermediate,Worsted,Wool,220-330,,Size H/8 (5.0mm) Crochet hook,https://www.crochet.com/hickory-dickory-hood/p/58209
Hilma Mosaic Crochet Socks,Intermediate,Fingering,Wool,470,,Size C/2 (3.0mm) Crochet hook,https://www.crochet.com/hilma-mosaic-crochet-socks/p/58267D
Honors Blanket Shawl,Intermediate,Worsted,Wool,2860,,Size H/8 (5.0mm) Crochet hook,https://www.crochet.com/honors-blanket-shawl/p/58106
Little Bear Coat,Intermediate,DK,Cotton,738-984,,Size F/5 (3.75mm) Crochet hook,https://www.crochet.com/little-bear-coat/p/58208
Mystical Tee,Beginner,Fingering,Wool,1110-2125,,E/3.5mm crochet hook,https://www.crochet.com/mystical-tee/p/15749D
Oma Blanket,Intermediate,Worsted,,4360,Crochet,US H/8 (5.0mm) Crochet hook,https://www.crochet.com/oma-blanket/p/55135D
Peek A Boo Baby Blanket,Intermediate,Worsted,Cotton,1533-3285,,Size G/6 (4.25mm) Crochet hook,https://www.crochet.com/peek-a-boo-baby-blanket/p/55007D
Pledge Class Cardi,Intermediate,"Lace, Worsted",Wool,3484,,Size I/9 (5.5mm) Crochet hook,https://www.crochet.com/pledge-class-cardi/p/58199
Rainbow Bobbles Blanket,Intermediate,Worsted,Acrylic,2180-4360,,Size I (5.5mm) Crochet hook,https://www.crochet.com/rainbow-bobbles-blanket/p/55011D
Rainbow Showers Wall Hanging,Intermediate,Worsted,Wool,770,,Size J (6mm) Crochet hook,https://www.crochet.com/rainbow-showers-wall-hanging/p/58211
Rosy Romper,Intermediate,Fingering,Cotton,218-436,,Size G (4.25mm) Crochet hook,https://www.crochet.com/rosy-romper/p/58205
School Colors Swoncho,Intermediate,DK,Wool,2214-4182,,I/5.5mm crochet hook,https://www.crochet.com/school-colors-swoncho/p/58107
Stadium Cowl,Intermediate,Worsted,Wool,660,,Size 7 (4.5mm) Crochet hook,https://www.crochet.com/stadium-cowl/p/58104
Study Hall Scarf,Intermediate,Worsted,Acrylic,1308,,Size 7 (4.5mm) Crochet hook,https://www.crochet.com/study-hall-scarf/p/58105
Tisket Tasket Wall Hanging,Intermediate,Worsted,Cotton,675,,Size H/8 (5.00mm) Crochet hook,https://www.crochet.com/tisket-tasket-wall-hanging/p/58212
Twin Rainbow Throw,Intermediate,"Bulky, Super Bulky",Wool,2065,,Sizes  L/11 (8.0mm) & N-P/15 (10.0mm) Crochet hooks,https://www.crochet.com/twin-rainbow-throw/p/58215
Wheatear Pullover,Beginner,Worsted,Acrylic,1526-3488,,L/11 (8.0mm) Crochet hook,https://www.crochet.com/wheatear-pullover/p/55048D
Adoration Shrug,Intermediate,Worsted,Wool,1500-4250,,Size J/10 (6.0mm) Crochet hook,https://www.crochet.com/adoration-shrug/p/58262D
Aspen the Snowman,Intermediate,"Worsted, Super Bulky",,725,,Sizes E/4 (3.50mm) & I/9 (5.50mm) Crochet hook,https://www.crochet.com/aspen-the-snowman/p/58271
Berry Bliss Pullover,Intermediate,DK,Alpaca,1476-2091,,US G/6 (4.00mm) Crochet hook,https://www.crochet.com/berry-bliss-pullover/p/55128D
Blithe Cable Pullover,Intermediate,DK,Wool,1353-2583,,"Sizes F/5 (3.75mm), G/6 (4.0mm), and H/8 (5.0mm) Crochet hooks",https://www.crochet.com/blithe-cable-pullover/p/58263D
Blizzard the Polar Bear,Intermediate,Worsted,Wool,280,,Size B/1 (2.5mm) Crochet hook,https://www.crochet.com/blizzard-the-polar-bear/p/58280
Bo Bardi Mosaic Pullover,Intermediate,DK,Alpaca,1920-3741,Crochet,Size G (4.25mm) Crochet hook,https://www.crochet.com/bo-bardi-mosaic-pullover/p/58270D
Charmed Cardigan,Intermediate,Worsted,Wool,1490-2980,,Sizes H/8 (5.0 mm) & I/9 (5.5mm) Crochet hook,https://www.crochet.com/charmed-cardigan/p/58260D
Enamored Pullover,Intermediate,DK,Wool,1599-2460,,Sizes G/6 (4.0mm) & H/8 (5.0mm) Crochet hook,https://www.crochet.com/enamored-pullover/p/58259D
Felicity Throw,Beginner,Worsted,Wool,179-13124,Crochet,I/5.5mm crochet hook,https://www.crochet.com/felicity-throw/p/12212D
Frosty Fringe Basket,Intermediate,Worsted,Cotton,484,Crochet,Sizes E/4 (3.50mm) & H/8 (5.00mm) crochet hook,https://www.crochet.com/frosty-fringe-basket/p/58275
Hoopla Ornament,Intermediate,Lace,Cotton,200,,Size 7(1.65 mm) steel crochet hook,https://www.crochet.com/hoopla-ornament/p/58273
Joyous Jar Wrap,Intermediate,Worsted,Acrylic,378,,"Sizes C/2 (2.75mm), G/6 (4.00mm), and H/8 (5.00mm) crochet hook",https://www.crochet.com/joyous-jar-wrap/p/58277
Kuumba Mug Rugs,Intermediate,Worsted,Cotton,190,,Size E/4 (3.50mm) Crochet hook,https://www.crochet.com/kuumba-mug-rugs/p/58278
Lacy Spring Cardigan,Intermediate,DK,Cotton,1164-2037,,F/3.75mm crochet hook,https://www.crochet.com/lacy-spring-cardigan/p/18739D
Lakeside Cardigan,Intermediate,Worsted,Acrylic,872-2900,,"H/5.0mm crochet hook, I/5.5mm crochet hook",https://www.crochet.com/lakeside-cardigan/p/18943D
Leonora Mosaic Cowl,Intermediate,"Super Bulky, Bulky",Acrylic,1088,,Size L/11 (8.0mm) Crochet hook,https://www.crochet.com/leonora-mosaic-cowl/p/58266D
Mickalene Mosaic Blanket,Intermediate,DK,Wool,3690,,Size G/6 (4.0mm) Crochet hook,https://www.crochet.com/mickalene-mosaic-blanket/p/58269D
Misty Mountains Blanket,Intermediate,Worsted,Cotton,763-2071,,Size J/10 (6mm) Crochet hook; Size H/8 (5mm) Crochet hook for Side Edging,https://www.crochet.com/misty-mountains-blanket/p/15327D
Optimism Drape Front Cardi,Intermediate,DK,Alpaca,1599-2706,,Sizes I/9 (5.5mm)J/10 (6.0mm) Crochet hook,https://www.crochet.com/optimism-drape-front-cardi/p/58265D
Radiate Motif Pullover,Intermediate,"DK, Sport",Alpaca,880-1760,Crochet,Size E/4 (3.5mm) Crochet hook,https://www.crochet.com/radiate-motif-pullover/p/58261D
Satisfaction Toggle Cardigan,Intermediate,"Aran/Heavy Worsted, Bulky",Wool,1370-2603,,Sizes G (4.0mm) & J (6.0mm) Crochet hook,https://www.crochet.com/satisfaction-toggle-cardigan/p/58264D
Snowman Door Hanger,Intermediate,Worsted,Acrylic,268,,Size H/8 (5.00mm) Crochet hook,https://www.crochet.com/snowman-door-hanger/p/58276
Sugarplum Gift Tag,Intermediate,Lace,Cotton,1180,,Size B/1 (2.25mm) Crochet hook,https://www.crochet.com/sugarplum-gift-tag/p/58279
Swallow Cable Cardigan,Intermediate,"Aran/Heavy Worsted, Worsted",Acrylic,1308-2398,,J/10 (6.0 mm) Crochet hook,https://www.crochet.com/swallow-cable-cardigan/p/55091D
The Plush & Blush Crop Top,Intermediate,"Lace, Fingering",Wool,1912-4400,,H/5.0mm crochet hook,https://www.crochet.com/the-plush-blush-crop-top/p/18573D
Tidings Holiday Ornament Set,Intermediate,Lace,Cotton,1180,,Size 4/0 (2.5mm) crochet hook,https://www.crochet.com/tidings-holiday-ornament-set/p/58274
Waffle-icious Cardigan,Intermediate,Fingering,Wool,2300-4700,,F/3.75mm crochet hook,https://www.crochet.com/waffle-icious-cardigan/p/18757D
Warbler Pullover,Intermediate,Worsted,Wool,1000-2250,,US J/10 (6.0 mm) Crochet hook,https://www.crochet.com/warbler-pullover/p/55090D
Wintry Wreath Ornament,Intermediate,Lace,Cotton,200,,Size 7 (1.65mm) steel crochet hook,https://www.crochet.com/wintry-wreath-ornament/p/58272
Yayoi Mosaic Cardigan Vest,Intermediate,Fingering,Wool,1428-2856,,Size G (4.25mm) Crochet hook,https://www.crochet.com/yayoi-mosaic-cardigan-vest/p/58268D
Arctic Tern Cable Vest,Intermediate,Fingering,Wool,1155-2541,,US D/3 (3.25mm) Crochet hook,https://www.crochet.com/arctic-tern-cable-vest/p/54074D
Buco Towel,Beginner,Worsted,,380,Crochet,G/4.0mm crochet hook,https://www.crochet.com/buco-towel/p/N4243
GiGi Cowl,Intermediate,Worsted,,110-220,Crochet,US I/9 (5.5mm) Crochet hook,https://www.crochet.com/gigi-cowl/p/55132D
Marionberry Crisp Cardigan,Intermediate,Sport,Alpaca,2976-3522,,US G/6 (4mm) Crochet hook,https://www.crochet.com/marionberry-crisp-cardigan/p/55127D
Mimi Pullover,Intermediate,Worsted,,110-1760,Crochet,US H/8 (5.00mm) Crochet hook,https://www.crochet.com/mimi-pullover/p/55133D
Pippy Headband,Intermediate,Worsted,,1090,Crochet,US H/8 (5.0mm) Crochet hook,https://www.crochet.com/pippy-headband/p/55131D
Popping Posts Lite Throw Blanket,Beginner,Worsted,Wool,1741,,I/5.5mm crochet hook,https://www.crochet.com/popping-posts-lite-throw-blanket/p/15718D
Simple Two Stitch Blanket,Beginner,Worsted,,1542,Crochet,H/5.0mm crochet hook,https://www.crochet.com/simple-two-stitch-blanket/p/N3906
Special Delivery Baby Blanket,Beginner,Worsted,Cotton,1962,,Size H/8 (5mm) Crochet hook,https://www.crochet.com/special-delivery-baby-blanket/p/52615D
Apple Pie Pullover,Intermediate,Worsted,Wool,1526-3270,,"I/9 (5.5 mm) Crochet hook and size 7 (4.5 mm) Crochet hook,",https://www.crochet.com/apple-pie-pullover/p/55097D
Avignon Boxy Tee,Beginner,Sport,Cotton,770-1760,,7/4.5mm crochet hook,https://www.crochet.com/avignon-boxy-tee/p/18188D
Barefoot Yoga Bag,Intermediate,Lace,Cotton,590,,F/3.75mm crochet hook,https://www.crochet.com/barefoot-yoga-bag/p/58189
Boom Box Belt Bag & Mix Tape Wallet,Intermediate,Lace,Cotton,1770,,C/2.75mm crochet hook,https://www.crochet.com/boom-box-belt-bag-mix-tape-wallet/p/58198
Bop Shop Earrings,Intermediate,Lace,Cotton,590,,US 3/2.10mm crochet hook,https://www.crochet.com/bop-shop-earrings/p/58202
Cassette Afghan,Intermediate,Bulky,Acrylic,7344,,G/4.0mm crochet hook,https://www.crochet.com/cassette-afghan/p/58197
Clean Sweep Rug,Intermediate,Worsted,Acrylic,1744-3706,,H/5.0mm crochet hook,https://www.crochet.com/clean-sweep-rug/p/58193
Dandelion Dragonfly Tank,Intermediate,"Lace, Fingering",Cotton,720-1620,,E/4 (3.5 mm) Crochet hook,https://www.crochet.com/dandelion-dragonfly-tank/p/55100D
Ferris Smock,Intermediate,Sport,Wool,1781-2740,,E/3.5mm crochet hook,https://www.crochet.com/ferris-smock/p/58200
Forest Trail Triangle Shawl,Beginner,Worsted,Acrylic,872,,7.0mm crochet hook,https://www.crochet.com/forest-trail-triangle-shawl/p/18834D
Gabby Bucket Hat,Intermediate,Worsted,Cotton,140-280,,E/3.5mm crochet hook,https://www.crochet.com/gabby-bucket-hat/p/18802D
Harmonious Pullover,Intermediate,Sport,Wool,1179-2096,,"G/4.0mm, H/5mm crochet hook",https://www.crochet.com/harmonious-pullover/p/58188
Heatherly Crochet Vest,Intermediate,Sport,Wool,200-1850,,"D/3.25mm crochet hook, F/3.75mm crochet hook",https://www.crochet.com/heatherly-crochet-vest/p/18763D
Hourglass Floor Pillow,Intermediate,Worsted,Cotton,1752,,G/4.0mm crochet hook,https://www.crochet.com/hourglass-floor-pillow/p/58192
Intention Blanket,Intermediate,Fingering,Cotton,3270,,"G/4.0mm, E/3.5mm crochet hook",https://www.crochet.com/intention-blanket/p/58190
Jelly Beans Baby Blanket,Intermediate,Worsted,Cotton,1744-5014,,Size I/9 (5.5mm) Crochet hook,https://www.crochet.com/jelly-beans-baby-blanket/p/55000D
Jumbleberry Pullover,Intermediate,DK,Wool,1476-3444,,US H/8 (5.00mm) Crochet hook,https://www.crochet.com/jumbleberry-pullover/p/55129D
Lattice Lace Shawl,Intermediate,Fingering,Wool,1800,,D/3.25mm crochet hook,https://www.crochet.com/lattice-lace-shawl/p/58183
Peek-A-Boo Crop Cardigan,Intermediate,Worsted,Cotton,650-1360,,7/4.5mm crochet hook,https://www.crochet.com/peek-a-boo-crop-cardigan/p/18803D
Please Stand By Bag,Intermediate,Worsted,Wool,2288,,F/3.75mm crochet hook,https://www.crochet.com/please-stand-by-bag/p/58201
Pondering Pillow,Intermediate,Fingering,Wool,2142,,G/4.25mm crochet hook,https://www.crochet.com/pondering-pillow/p/58196
Raindance Baby Blanket,Intermediate,Sport,Wool,1368,,G/4.0mm crochet hook,https://www.crochet.com/raindance-baby-blanket/p/15723D
Record Blanket,Intermediate,Worsted,Acrylic,3924,,H/5.0mm crochet hook,https://www.crochet.com/record-blanket/p/58203
Reflection Pouch,Intermediate,Sport,Wool,411,,E/3.5mm crochet hook,https://www.crochet.com/reflection-pouch/p/58186
Rhythm Tote,Intermediate,Lace,Cotton,885,,F/3.75mm crochet hook,https://www.crochet.com/rhythm-tote/p/58184
Santocha Cushion,Intermediate,DK,Cotton,1476,,D/3.25mm crochet hook,https://www.crochet.com/santocha-cushion/p/58195
Solomon's Knot Tee,Intermediate,Fingering,Wool,880-1540,,US 7/4.5mm crochet hook,https://www.crochet.com/solomon-s-knot-tee/p/58185
Tennin Tunisian Blanket,Intermediate,Worsted,Wool,1430-7280,,K/6.5mm crochet hook,https://www.crochet.com/tennin-tunisian-blanket/p/18505D
Windrose Rug,Intermediate,Worsted,Cotton,1330,,US 7/4.5mm crochet hook,https://www.crochet.com/windrose-rug/p/58194
Wisdom Book Bag,Intermediate,Worsted,Cotton,760,,"G/4.0mm crochet hook , H/5mm Tunisian hook",https://www.crochet.com/wisdom-book-bag/p/58191
Ashmont Aran Afghan,Intermediate,DK,Wool,3813,,Size  I/9 crochet hook,https://www.crochet.com/ashmont-aran-afghan/p/58117
Aster Table Runner,Intermediate,Worsted,Cotton,442,,K/6.5mm Tunisian Crochet Hook with 32in cord,https://www.crochet.com/aster-table-runner/p/18181D
Baby Blues Blanket,Intermediate,Worsted,Cotton,1275,Crochet,H/5.0mm crochet hook,https://www.crochet.com/baby-blues-blanket/p/13561D
Baby Filet Just Ducky Crochet Blankie,Intermediate,Sport,Acrylic,1092,,H/5.0mm crochet hook,https://www.crochet.com/baby-filet-just-ducky-crochet-blankie/p/11575D
Belleville Sweater,Intermediate,"Lace, Fingering",Wool,3345-4839,,Sizes G/4 (4.0mm) & 7 (4.5mm) crochet hooks,https://www.crochet.com/belleville-sweater/p/58120
Birds of Paradise Tee,Intermediate,Fingering,Silk,940-1504,,D/3 (3.25mm) Crochet hook,https://www.crochet.com/birds-of-paradise-tee/p/55099D
Boothbay Harbor Shawlette,Intermediate,Fingering,Wool,714,,Size G/6 (4mm) and Size F/5 (3.75mm) Crochet hooks,https://www.crochet.com/boothbay-harbor-shawlette/p/52637D
Brandy Water Bottle Holder,Intermediate,Worsted,Acrylic,1090,,G/4.0mm crochet hook,https://www.crochet.com/brandy-water-bottle-holder/p/54001D
Budding Garden Tee,Intermediate,Fingering,Cotton,1308-2398,,D/3 (3.25mm) Crochet ho,https://www.crochet.com/budding-garden-tee/p/55102D
Cake Socks,Intermediate,Fingering,Wool,396-792,,B/1 (2.25mm) & C/2 (2.75mm) Crochet hook,https://www.crochet.com/cake-socks/p/55059D
Calathea Cardigan Pattern,Intermediate,Lace,Cotton,1180-2365,,U.S. E/4 (3.5 mm) crochet hook,https://www.crochet.com/calathea-cardigan-pattern/p/58074
Calming Stripes Blanket,Intermediate,Bulky,Acrylic,2856,,Size M/13 (9mm),https://www.crochet.com/calming-stripes-blanket/p/17947D
Canby Ferry Cabled Pullover,Intermediate,DK,Alpaca,1599-2706,,Size H/8 (5.00mm) crochet hook,https://www.crochet.com/canby-ferry-cabled-pullover/p/58124
Cannon Mountain Cardigan,Intermediate,Worsted,Wool,1870-3520,Crochet,Size H/8 (5.00mm) crochet hook,https://www.crochet.com/cannon-mountain-cardigan/p/58127
Cascina Cabled Headband,Intermediate,DK,Wool,246,,Size F/5 (3.75 mm) crochet hook,https://www.crochet.com/cascina-cabled-headband/p/58126
Cherry Blossom Cardigan,Intermediate,Fingering,Cotton,1080-1800,,Sizes C/2 (2.75mm) & E/4 (3.5mm) Crochet hook,https://www.crochet.com/cherry-blossom-cardigan/p/54019D
Chevron Pop Shawl,Intermediate,Fingering,Wool,1071,,Size G/6 (4mm) Crochet hook,https://www.crochet.com/chevron-pop-shawl/p/52638D
Chunky Baby Blanket,Intermediate,Worsted,Cotton,1050,,J/6.00mm crochet hook,https://www.crochet.com/chunky-baby-blanket/p/18818D
