Title,Skill Level,Yarn Brand,Yarn Name,Yarn Weight,Hook Size,Stitches,Color,Category,Pattern Link
Textured Crochet Neck Warmer Pattern,3. Intermediate,Lion Brand,Feels Like Heaven,Weight 3 - Light,4.5 mm (7),"Half Double Crochet , Single Crochet , Triple Crochet",Pink,Pink,https://easycrochet.com/textured-crochet-neck-warmer-pattern/
Ombre Crochet Neck Warmer Pattern,2. Easy,Lion Brand,Homespun,Weight 5 - Bulky,6.5 mm (K-10.5),"Double Crochet , Single Crochet",Pink,Pink,https://easycrochet.com/ombre-crochet-neck-warmer-cowl-pattern/
Williams Puff Cowl Crochet Pattern,2. Easy,Loops and Threads,Charisma,Weight 5 - Bulky,9 mm (M/N-13),"Half Double Crochet , Puff",Blue,Blue,https://easycrochet.com/williams-puff-cowl-crochet-pattern/
Half Double Crochet Infinity Scarf Pattern,2. Easy,Lion Brand,Wool-Ease Thick and Quick,Weight 6 - Super Bulky,9 mm (M/N-13),Half Double Crochet,"Blue , Green",Blue,https://easycrochet.com/half-double-crochet-infinity-scarf-pattern/
Free Ombre Crochet Scarf Pattern,3. Intermediate,Lion Brand,"Feels Like Butta , Mandala",Weight 4 - Medium,5 mm (H-8),"Double Crochet , Half Double Crochet , Single Crochet","Blue , Variegated",Blue,https://easycrochet.com/free-ombre-crochet-scarf-pattern/
Fabulously Fall Crochet Fringe Scarf,3. Intermediate,Lion Brand,Vanna's Choice,Weight 4 - Medium,6 mm (J-10),Half Double Crochet,Green,Green,https://easycrochet.com/fabulously-fall-fringe-scarf/
9 Cute Crochet Chicken Patterns,,,,,,,,,
14 Free Crochet Patterns for Adorable Gnomes,,,,,,,,,
21 Beginner-Friendly Crochet Amigurumi Patterns,,,,,,,,,
13 Free Crochet Cake Patterns,,,,,,,,,
Top 10 Free Patterns for Crochet Plants,,,,,,,,,
24 Top Crochet Octopus Patterns: All Free Patterns,,,,,,,,,
15 Fun Crochet Patterns for Fruits and Vegetables,,,,,,,,,
The Best Axolotl Crochet Pattern Collection,,,,,,,,,
Seed Stitch Crochet,2. Easy,,,Weight 2 - Fine,4 mm (G-6),"Single Crochet , Single Crochet Back Loop , Slip Stitch",Pink,Crochet,https://easycrochet.com/partner/seed-stitch-crochet/
Spiked Sedge Stitch,2. Easy,,,Weight 4 - Medium,5 mm (H-8),"Double Crochet , Half Double Crochet , Single Crochet",Brown,Crochet,https://easycrochet.com/partner/spiked-sedge-stitch/
Whip Stitch Crochet Seaming Technique,2. Easy,,,,,,,Crochet,https://easycrochet.com/whip-stitch-crochet-technique/
Braided Extended Half Double Crochet,2. Easy,,,Weight 4 - Medium,5 mm (H-8),"Half Double Crochet , Slip Stitch",Gray,Crochet,https://easycrochet.com/partner/braided-extended-half-double-crochet/
Twisted Up Tunisian Simple Stitch,"1. Basic , 2. Easy",,,Weight 3 - Light,6 mm (J-10),Tunisian Simple Stitch,Pink,Crochet,https://easycrochet.com/partner/twisted-up-tunisian-simple-stitch/
Crunch Stitch Crochet,2. Easy,,,Weight 4 - Medium,5 mm (H-8),"Half Double Crochet , Slip Stitch",Brown,Crochet,https://easycrochet.com/partner/crunch-stitch-crochet/
Crochet Modified Cross Stitch,2. Easy,,,Weight 2 - Fine,4 mm (G-6),"Single Crochet , Slip Stitch",,Crochet,https://easycrochet.com/partner/crochet-modified-cross-stitch/
Crochet Bar Stitch,2. Easy,,,Weight 4 - Medium,5 mm (H-8),"Double Crochet , Single Crochet",Brown,Crochet,https://easycrochet.com/partner/crochet-bar-stitch/
Double the Fun: A Guide to Holding Two Yarn Skeins Together,,,,,,,,,
The Easy Way to Add and Use Crochet Appliqués,,,,,,,,,
Crochet the Perfect Temperature Blanket Guide (+ Free Patterns),,,,,,,,,
Understanding The Right Side vs Wrong Side in Crochet,,,,,,,,,
Why is My Crochet Blanket Curving And How to Fix It!,,,,,,,,,
The Many Types of Crochet,,,,,,,,,
The 9 Best Ways to Seam Crochet Projects Together,,,,,,,,,
What is DK Weight Yarn?,,,,,,,,,
Bulky Chevron Blanket,2. Easy,Lion Brand,,Weight 6 - Super Bulky,10 mm (N/P-15),Double Crochet,"Green , Neutral , Pink",Chevron Patterns,https://easycrochet.com/partner/bulky-chevron-blanket/
Verglas Shawl,2. Easy,Scheepjes,,Weight 3 - Light,3.5 mm (E-4),"Double Crochet , Single Crochet",White,Chevron Patterns,https://easycrochet.com/partner/verglas-shawl/
Asymmetric Crochet Chevron Cowl,2. Easy,,,Weight 4 - Medium,5.5 mm (I-9),"Single Crochet , Single Crochet Back Loop , Single Crochet Two Together",,"Chevron Patterns This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/asymmetric-crochet-chevron-cowl/
Classic Ripple Crochet Pattern Tutorial,2. Easy,Red Heart,Red Heart Soft,,6 mm (J-10),Double Crochet,"Blue , Purple",Chevron Patterns,https://easycrochet.com/classic-ripple-crochet-pattern-tutorial/
Easy Crochet Chevron Blanket,2. Easy,Lion Brand,Vanna's Choice,Weight 4 - Medium,6 mm (J-10),"Single Crochet , Single Crochet Back Loop",Neutral,Neutral,https://easycrochet.com/single-crochet-chevron-blanket/
Chevron Scarf Crochet Pattern,2. Easy,Premier Yarns,,Weight 5 - Bulky,6 mm (J-10),Single Crochet,Neutral,Chevron Patterns,https://easycrochet.com/crochet-chevron-scarf-pattern/
Crochet Ripple Baby Blanket Pattern,2. Easy,Lion Brand,Vanna's Choice,Weight 4 - Medium,6 mm (J-10),Half Double Crochet,Yellow,Yellow,https://easycrochet.com/baby-ripple-crochet-blanket/
Granny Ripple Blanket Crochet Pattern,2. Easy,Lion Brand,Vanna's Choice,Weight 4 - Medium,6 mm (J-10),Double Crochet,"Blue , Gray , White",Blue,https://easycrochet.com/rippling-trellis-crochet-blanket-pattern/
12 Crochet Graduation Gifts To Make This Year,,,,,,,,,
24 Free Shamrock and Clover Crochet Patterns,,,,,,,,,
Easy Crochet Christmas Stocking Pattern,2. Easy,Bernat,Blanket Yarn,Weight 6 - Super Bulky,9 mm (M/N-13),"Double Crochet , Single Crochet",Red,Red,https://easycrochet.com/easy-crochet-christmas-stocking-pattern/
8 Spooky Crochet Halloween Projects to Haunt Your Home,,,,,,,,,
32 Spring Crochet Patterns Ideas,,,,,,,,,
New Year’s Eve Crochet Patterns: 11 Sparkling Designs For Your Celebration,,,,,,,,,
28 Free Crochet Christmas Patterns for the Home,,,,,,,,,
14 Free Crochet Snowflake Patterns,,,,,,,,,
10 Free Crochet Easter Basket Patterns,,,,,,,,,
Free Crochet Storage Basket Pattern,2. Easy,Lion Brand,Wool-Ease Thick and Quick,Weight 6 - Super Bulky,9 mm (M/N-13),Double Crochet,Gray,Gray,https://easycrochet.com/crochet-storage-basket/
27 Free Crochet Basket Patterns,,,,,,,,,
Free Mini Crochet Basket Pattern,2. Easy,Wool and the Gang,Tina Tape Yarn,Weight 4 - Medium,5.5 mm (I-9),Single Crochet,Green,Green,https://easycrochet.com/table-top-mini-basket/
Frances Crochet Cardigan For Kids,2. Easy,,,"Weight 0 - Lace , Weight 3 - Light",4 mm (G-6),"Double Crochet , Single Crochet , Single Crochet Back Loop",Blue,"Baby Sweaters This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/frances-crochet-cardigan-for-kids/
Orange Blossom Wrap,2. Easy,Rowan,,Weight 0 - Lace,6.5 mm (K-10.5),Herringbone Double Crochet,Orange,Crochet Scarves,https://easycrochet.com/partner/orange-blossom-wrap/
Very Peri Tee,3. Intermediate,,,Weight 0 - Lace,3.5 mm (E-4),"Double Crochet , Puff",Purple,"Crochet Tops & Tanks This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/very-peri-tee/
Ice Queen Cowl,3. Intermediate,,,Weight 0 - Lace,5 mm (H-8),Tunisian Knit Stitch,Blue,"Crochet Cowls This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/ice-queen-cowl/
Anette Bookmark,,Hobbii,,Weight 1 - Super Fine,3.25 mm (D-3),"Double Crochet , Shell Stitch , Slip Stitch","Green , Red , White","Crochet Home DÃ©cor This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/anette-bookmark/
Half Double and V-Stitch Super Fine Crochet Wrap,2. Easy,Red Heart,,Weight 1 - Super Fine,3.5 mm (E-4),Half Double Crochet,,"Crochet Shawls & Wraps This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/half-double-and-v-stitch-super-fine-crochet-wrap/
Festivities Placemat,3. Intermediate,Hobbii,,Weight 1 - Super Fine,3.5 mm (E-4),,"Green , Red , White","Christmas Crochet Patterns This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/festivities-placemat/
Ebun Headband,3. Intermediate,WeCrochet,Palette,Weight 1 - Super Fine,3.75 mm (F-5),"Tunisian Knit Stitch , Tunisian Simple Stitch","Brown , Neutral",Brown,https://easycrochet.com/partner/ebun-headband/
Dreamy Lucia Shawl,2. Easy,,,Weight 1 - Super Fine,7 mm,Tunisian Simple Stitch,"Green , Neutral , Purple","Crochet Shawls & Wraps This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/dreamy-lucia-shawl/
Puffs and Crosses Lace Shawl,2. Easy,Scheepjes,,Weight 1 - Super Fine,4 mm (G-6),"Double Crochet , Puff , Single Crochet",Pink,Crochet Shawls & Wraps,https://easycrochet.com/partner/puffs-and-crosses-lace-shawl/
Misty Sunrise Shawl,3. Intermediate,,,Weight 1 - Super Fine,4.5 mm (7),"Tunisian Knit Stitch , Tunisian Simple Stitch","Gray , Yellow","Crochet Shawls & Wraps This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/misty-sunrise-shawl/
Mystical Tee,2. Easy,"Knit Picks , WeCrochet",,Weight 1 - Super Fine,3.5 mm (E-4),"Half Double Crochet , Half Double Crochet Back Loop , Half Double Crochet Front Loop , Single Crochet , Slip Stitch",Neutral,Crochet Tops & Tanks,https://easycrochet.com/partner/mystical-tee/
Mystique Capelet,,,,Weight 1 - Super Fine,"3.5 mm (E-4) , 4 mm (G-6)","Tunisian Knit Stitch , Tunisian Purl Stitch , Tunisian Simple Stitch","Neutral , Pink","Crochet Clothing This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/mystique-capelet/
Creepy Crawly Spider Sock Pattern,3. Intermediate,WeCrochet,,Weight 1 - Super Fine,3.5 mm (E-4),"Single Crochet , Single Crochet Back Loop , Slip Stitch","Black , Orange , White",Crochet Footwear,https://easycrochet.com/partner/creepy-crawly-spider-sock-pattern/
Easy Crochet Cardigan,2. Easy,WeCrochet,,Weight 1 - Super Fine,4 mm (G-6),Double Crochet,Brown,Crochet Cardigans,https://easycrochet.com/partner/easy-crochet-cardigan/
Seeing Stripes Shawl,2. Easy,Rowan,Summerlite 4 Ply,Weight 1 - Super Fine,4.5 mm (7),Tunisian Simple Stitch,"Blue , Red",Blue,https://easycrochet.com/partner/seeing-stripes-shawl/
Lacy Blossom Shawl,2. Easy,,,Weight 1 - Super Fine,4 mm (G-6),Tunisian Simple Stitch,Green,"Crochet Shawls & Wraps This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/lacy-blossom-shawl/
Sienna Harvest Berry Shawl,3. Intermediate,,,Weight 1 - Super Fine,4 mm (G-6),"Tunisian Knit Stitch , Tunisian Simple Stitch",Variegated,"Crochet Shawls & Wraps This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/sienna-harvest-berry-shawl/
Mannequin Shawl,3. Intermediate,,,Weight 1 - Super Fine,4.5 mm (7),Tunisian Simple Stitch,Variegated,"Crochet Shawls & Wraps This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/mannequin-shawl/
Verona Tee,2. Easy,WeCrochet,,Weight 1 - Super Fine,4 mm (G-6),Double Crochet,Green,Crochet Clothing,https://easycrochet.com/partner/verona-tee/
Summer Nights Crochet Shawl,3. Intermediate,Lion Brand,Summer Nights,Weight 1 - Super Fine,4.5 mm (7),"Double Crochet , Half Double Crochet , Single Crochet",Blue,Blue,https://easycrochet.com/summer-nights-crochet-shawl/
Ragazza Lace Shawl,1. Basic,Hobbii,,Weight 2 - Fine,5 mm (H-8),Tunisian Knit Stitch,Neutral,Crochet Shawls & Wraps,https://easycrochet.com/partner/ragazza-lace-shawl/
Free Giraffe Amigurumi Crochet Pattern,"1. Basic , 2. Easy",,,"Weight 2 - Fine , Weight 6 - Super Bulky","2.25 mm (B-1) , 5 mm (H-8)","Single Crochet , Slip Stitch","Black , Brown , Yellow","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/free-giraffe-amigurumi-crochet-pattern/
Free Penguin Amigurumi,2. Easy,,,"Weight 2 - Fine , Weight 6 - Super Bulky","2.25 mm (B-1) , 5 mm (H-8)","Single Crochet , Slip Stitch","Blue , Orange , White , Yellow","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/free-penguin-amigurumi/
Free Owl Amigurumi Crochet Pattern,1. Basic,,,"Weight 2 - Fine , Weight 6 - Super Bulky","2.25 mm (B-1) , 5 mm (H-8)","Single Crochet , Slip Stitch","Brown , Neutral , White","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/free-owl-amigurumi-crochet-pattern/
Poppy Lace Collar,2. Easy,WeCrochet,,Weight 2 - Fine,4 mm (G-6),"Double Crochet , Single Crochet",,"Crochet Necklaces This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/poppy-lace-collar/
Peafowl Feathers Crochet Shawl,3. Intermediate,,,Weight 2 - Fine,4 mm (G-6),"Double Crochet , Half Double Crochet","Blue , Green , Purple","Crochet Shawls & Wraps This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/peafowl-feathers-crochet-shawl/
Rosa Shawlette,2. Easy,Scheepjes,Stone Washed,Weight 2 - Fine,4.5 mm (7),Tunisian Simple Stitch,Pink,Pink,https://easycrochet.com/partner/rosa-shawlette/
Felidae Summer Wrap,2. Easy,Rowan,Summerlite 4 Ply,Weight 2 - Fine,3.25 mm (D-3),"Double Crochet , Half Double Crochet , Single Crochet","Orange , Pink , Yellow",Orange,https://easycrochet.com/partner/felidae-summer-wrap/
Free Duck Amigurumi Crochet Pattern,2. Easy,,,"Weight 2 - Fine , Weight 6 - Super Bulky","2.25 mm (B-1) , 5 mm (H-8)","Single Crochet , Slip Stitch","Brown , Green , Orange , White , Yellow","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/free-duck-amigurumi-crochet-pattern/
Tunisian Heart Coaster,2. Easy,Scheepjes,Stone Washed,Weight 2 - Fine,4.5 mm (7),Tunisian Simple Stitch,Pink,Pink,https://easycrochet.com/partner/tunisian-heart-coaster/
Lovely Heart Coaster,2. Easy,Scheepjes,Stone Washed,Weight 2 - Fine,4.5 mm (7),Tunisian Simple Stitch,Pink,Pink,https://easycrochet.com/partner/lovely-heart-coaster/
Electric Blue Wrap,3. Intermediate,Scheepjes,,Weight 2 - Fine,2mm,Double Crochet,Blue,Crochet Shawls & Wraps,https://easycrochet.com/partner/electric-blue-wrap/
Free Crochet Bunny Amigurumi Keychain,"1. Basic , 2. Easy",,,"Weight 2 - Fine , Weight 6 - Super Bulky","2.25 mm (B-1) , 5 mm (H-8)","Single Crochet , Slip Stitch","Gray , Pink","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/free-crochet-bunny-amigurumi-keychain/
Lacy Double V-Stitch Rectangular Shawl,2. Easy,Red Heart,,Weight 2 - Fine,3.25 mm (D-3),,,"Crochet Shawls & Wraps This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/lacy-double-v-stitch-rectangular-shawl/
Chubby Gnome Christmas,2. Easy,"Lion Brand , Paintbox Yarn , Red Heart",24/7 Cotton,"Weight 2 - Fine , Weight 3 - Light","2.25 mm (B-1) , 2.75 mm (C-2)","Double Crochet , Front Loop Single Crochet , Single Crochet , Single Crochet Back Loop , Slip Stitch","Green , Red , White",Green,https://easycrochet.com/partner/chubby-gnome-christmas/
Flower Keychain Pattern,2. Easy,,,"Weight 2 - Fine , Weight 5 - Bulky","2.25 mm (B-1) , 3.5 mm (E-4)","Single Crochet , Slip Stitch","Blue , Pink , White , Yellow","Crochet Flowers This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/flower-keychain-pattern/
Bubbles the Octopus,2. Easy,,,"Weight 2 - Fine , Weight 6 - Super Bulky","2.25 mm (B-1) , 5 mm (H-8)","Single Crochet , Slip Stitch","Blue , Orange","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/bubbles-the-octopus/
Santa & Mrs. Claus Crochet Pattern,2. Easy,,,Weight 2 - Fine,2.25 mm (B-1),"Double Crochet , Half Double Crochet , Single Crochet , Slip Stitch , Triple Crochet","Red , White","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/santa-mrs-claus-crochet-pattern/
Penguin the Chef,4. Complex,,,"Weight 2 - Fine , Weight 3 - Light","2.75 mm (C-2) , 3.25 mm (D-3)","Front Loop Single Crochet , Single Crochet , Single Crochet Back Loop , Slip Stitch","Black , White","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/penguin-the-chef/
Japandi Lace Shawl,2. Easy,Hobbii,,Weight 2 - Fine,5 mm (H-8),Tunisian Knit Stitch,Neutral,Crochet Clothing,https://easycrochet.com/partner/japandi-lace-shawl/
Free Love Elephant Amigurumi,"1. Basic , 2. Easy",,,"Weight 2 - Fine , Weight 6 - Super Bulky","2.25 mm (B-1) , 5 mm (H-8)","Single Crochet , Slip Stitch","Pink , Red , White","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/free-love-elephant-amigurumi/
Free Halloween Pumpkin,2. Easy,,,"Weight 2 - Fine , Weight 6 - Super Bulky","2.25 mm (B-1) , 5 mm (H-8)","Single Crochet , Slip Stitch","Black , Green , Orange","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/free-halloween-pumpkin/
Axl the Fox Amigurumi Crochet Pattern,2. Easy,,,"Weight 2 - Fine , Weight 6 - Super Bulky","2.25 mm (B-1) , 5 mm (H-8)","Single Crochet , Slip Stitch","Black , Orange , White","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/axl-the-fox-amigurumi-crochet-pattern/
Baby Jellyfish Crochet Pattern,2. Easy,,,Weight 2 - Fine,2.25 mm (B-1),"Double Crochet , Single Crochet , Single Crochet Back Loop , Single Crochet Two Together , Slip Stitch",,"Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/baby-jellyfish-crochet-pattern/
